query_id,source,target
0001,49124,114629
0002,49067,114622
0003,49066,114629
0004,49122,114630
0005,49123,114623
0006,49124,114617
0007,49067,115087
0008,49122,114629
0009,49066,114623
0010,49124,114630
0011,49124,114084
0012,49066,114630
0013,49066,114604
0014,49123,114617
0015,49122,114617
0016,49066,114596
0017,49067,114604
0018,49121,114623
0019,49123,114629
0020,49122,114598
0021,49067,114630
0022,49121,115087
0023,49122,115087
0024,49123,114084
0025,49067,114623
0026,49122,114623
0027,49123,114622
0028,49067,114617
0029,49124,114604
0030,49124,114622
