query_id,source,target
0001,335244,58370
0002,13113,388787
0003,144195,128394
0004,117027,73159
0005,386124,53737
0006,354786,388324
0007,285930,45581
0008,309589,221209
0009,16664,15623
0010,49124,114630
0011,121982,264952
0012,315632,13913
0013,294255,104249
0014,375401,340727
0015,367697,285707
0016,219950,115575
0017,235515,308945
0018,145853,424375
0019,3408,397834
0020,422482,83708
0021,366027,221572
0022,178390,145685
0023,81517,112887
0024,400291,176473
0025,53588,48626
0026,199192,50708
0027,188209,180332
0028,316527,138686
0029,423168,22781
0030,382590,240871
