query_id,source,target
0001,58370,13113
0002,144195,128394
0003,117027,73159
0004,53737,285930
0005,45581,309589
0006,221209,16664
0007,15623,49124
0008,114630,121982
0009,264952,315632
0010,13913,294255
0011,104249,285707
0012,219950,115575
0013,235515,308945
0014,145853,3408
0015,83708,221572
0016,178390,145685
0017,81517,112887
0018,176473,53588
0019,48626,199192
0020,50708,188209
0021,180332,316527
0022,138686,22781
0023,240871,281138
0024,65445,198462
0025,41314,289429
0026,153710,189601
0027,302699,100815
0028,36467,24026
0029,119485,151723
0030,41834,122050
0031,52954,199296
0032,145739,237718
0033,191278,85278
0034,194082,186265
0035,109843,139974
0036,37436,319361
0037,89726,280044
0038,128352,85670
0039,242358,198944
0040,141531,292003
0041,115142,170018
0042,29328,120088
0043,16830,165389
0044,210326,140374
0045,34702,110616
0046,297366,164982
0047,111478,261741
0048,207426,240571
0049,74906,138874
0050,73207,129304
0051,294319,282580
0052,137753,306492
0053,224623,305940
0054,209401,189791
0055,114988,72526
0056,267139,258745
0057,47663,24703
0058,57488,80133
0059,83877,221334
0060,312691,33307
0061,201729,200079
0062,312418,245393
0063,277409,131814
0064,290050,6020
0065,60059,281528
0066,139894,178350
0067,58486,153879
0068,227943,82921
0069,237882,1702
0070,138092,262452
0071,93666,266172
0072,55790,156472
0073,266162,319276
0074,104287,80132
0075,196039,84699
0076,282790,278059
0077,300,314020
0078,169952,256171
0079,10212,58651
0080,190307,161226
0081,125542,30370
0082,126287,297459
0083,41292,44908
0084,254799,36288
0085,279292,65935
0086,67315,249185
0087,288256,86575
0088,138967,276654
0089,318030,221847
0090,111044,282747
0091,105462,163430
0092,209187,195780
0093,229691,271359
0094,236709,63442
0095,129974,117807
0096,33569,177255
0097,11029,308444
0098,290415,120647
0099,308513,115458
0100,3771,37221
