query_id,source,target
0001,58370,13113
0002,144195,128394
0003,117027,73159
0004,53737,285930
0005,45581,309589
0006,221209,16664
0007,15623,49124
0008,114630,121982
0009,264952,315632
0010,13913,294255
0011,104249,285707
0012,219950,115575
0013,235515,308945
0014,145853,3408
0015,83708,221572
0016,178390,145685
0017,81517,112887
0018,176473,53588
0019,48626,199192
0020,50708,188209
0021,180332,316527
0022,138686,22781
0023,240871,281138
0024,65445,198462
0025,41314,289429
0026,153710,189601
0027,302699,100815
0028,36467,24026
0029,119485,151723
0030,41834,122050
