query_id,source,target
0001,300,169952
0002,1702,138092
0003,3408,83708
0004,11029,120647
0005,13913,104249
0006,15623,49124
0007,16470,173240
0008,16830,165389
0009,24026,119485
0010,28402,51600
0011,29328,120088
0012,30370,126287
0013,31779,211090
0014,33307,201729
0015,33569,177255
0016,34702,110616
0017,37150,124783
0018,37221,30867
0019,39524,232329
0020,41292,44908
0021,47663,24703
0022,50820,225995
0023,53588,48626
0024,53737,45581
0025,55790,156472
0026,57488,80133
0027,58370,13113
0028,58651,190307
0029,60059,139894
0030,65935,67315
