query_id,source,target
0001,300,169952
0002,1702,138092
0003,3408,83708
0004,11029,120647
0005,13913,104249
0006,15623,49124
0007,16470,173240
0008,16830,165389
0009,24026,119485
0010,28402,51600
0011,29328,120088
0012,30370,126287
0013,31779,211090
0014,33307,201729
0015,33569,177255
0016,34702,110616
0017,37150,124783
0018,37221,30867
0019,39524,232329
0020,41292,44908
0021,47663,24703
0022,50820,225995
0023,53588,48626
0024,53737,45581
0025,55790,156472
0026,57488,80133
0027,58370,13113
0028,58651,190307
0029,60059,139894
0030,65935,67315
0031,72526,258745
0032,73496,221188
0033,82921,237882
0034,83877,221334
0035,85278,194082
0036,85670,242358
0037,89726,128352
0038,96201,146038
0039,99725,235203
0040,99830,49454
0041,100815,36467
0042,104287,80132
0043,111044,105462
0044,112322,69370
0045,112887,176473
0046,114630,121982
0047,115142,170018
0048,115458,3771
0049,117027,73159
0050,120032,35338
0051,122050,52954
0052,129304,137753
0053,129974,117807
0054,130368,100449
0055,131814,6020
0056,138686,22781
0057,138874,73207
0058,138967,221847
0059,139974,37436
0060,144195,128394
0061,145685,81517
0062,146003,254497
0063,151723,41834
0064,153710,189601
0065,153879,227943
0066,161226,125542
0067,163430,209187
0068,164982,111478
0069,177893,57289
0070,178350,58486
0071,185754,222078
0072,186265,109843
0073,188209,180332
0074,189791,114988
0075,195780,229691
0076,196039,84699
0077,198462,41314
0078,198944,141531
0079,199192,50708
0080,199296,145739
0081,200079,245393
0082,210326,140374
0083,215536,244856
0084,219950,115575
0085,221209,16664
0086,221572,178390
0087,224623,209401
0088,235515,145853
0089,236709,63442
0090,237718,191278
0091,240571,74906
0092,240871,65445
0093,242551,130971
0094,247816,127401
0095,247975,213417
0096,249185,86575
0097,254799,36288
0098,256171,10212
0099,261741,207426
0100,262452,93666
